item,calories,protein,fat,carbs
Cool Lime Starbucks Refreshers™ Beverage,45.0,0.0,0.0,11.0
Strawberry Acai Starbucks Refreshers™ Beverage,80.0,0.0,0.0,18.0
Very Berry Hibiscus Starbucks Refreshers™ Beverage,60.0,0.0,0.0,14.0
Evolution Fresh™ Organic Ginger Limeade,110.0,0.0,0.0,28.0
Iced Coffee,0.0,0.0,0.0,0.0
Iced Espresso Classics - Vanilla Latte,130.0,5.0,2.5,21.0
Iced Espresso Classics - Caffe Mocha,140.0,5.0,2.5,23.0
Iced Espresso Classics - Caramel Macchiato,130.0,5.0,2.5,21.0
Shaken Sweet Tea,80.0,0.0,0.0,19.0
Tazo® Bottled Berry Blossom White,60.0,0.0,0.0,15.0
Tazo® Bottled Black Mango,150.0,0.0,0.0,38.0
Tazo® Bottled Black with Lemon,140.0,0.0,0.0,35.0
Tazo® Bottled Brambleberry,140.0,0.0,0.0,35.0
Tazo® Bottled Giant Peach,150.0,0.0,0.0,37.0
Tazo® Bottled Iced Passion,70.0,0.0,0.0,17.0
Tazo® Bottled Lemon Ginger,120.0,0.0,0.0,31.0
Tazo® Bottled Organic Black Lemonade,140.0,0.0,0.0,35.0
Tazo® Bottled Organic Iced Black Tea,60.0,0.0,0.0,15.0
Tazo® Bottled Organic Iced Green Tea,120.0,0.0,0.0,31.0
Tazo® Bottled Plum Pomegranate,140.0,0.0,0.0,35.0
Tazo® Bottled Tazoberry,150.0,0.0,0.0,38.0
Tazo® Bottled White Cranberry,140.0,0.0,0.0,35.0
Teavana® Shaken Iced Black Tea,30.0,0.0,0.0,8.0
Teavana® Shaken Iced Black Tea Lemonade,70.0,0.0,0.0,17.0
Teavana® Shaken Iced Green Tea,30.0,0.0,0.0,8.0
Teavana® Shaken Iced Green Tea Lemonade,70.0,0.0,0.0,17.0
Teavana® Shaken Iced Passion Tango™ Tea,30.0,0.0,0.0,8.0
Teavana® Shaken Iced Passion Tango™ Tea Lemonade,90.0,0.0,0.0,24.0
Teavana® Shaken Iced Peach Green Tea,60.0,0.0,0.0,15.0
Iced Espresso Classics - Vanilla Latte,130.0,5.0,2.5,21.0
Iced Espresso Classics - Caffe Mocha,140.0,5.0,2.5,23.0
Iced Espresso Classics - Caramel Macchiato,130.0,5.0,2.5,21.0
